CRIM,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,LSTAT,CAT.MEDV
5.66998,18.1,1,0.631,6.683,96.8,1.3567,24,666,3.73,1
6.53876,18.1,1,0.631,7.016,97.5,1.2024,24,666,2.96,1
9.2323,18.1,0,0.631,6.216,100,1.1691,24,666,9.53,1
8.26725,18.1,1,0.668,5.875,89.6,1.1296,24,666,8.88,1
11.1081,18.1,0,0.668,4.906,100,1.1742,24,666,34.77,0
18.4982,18.1,0,0.668,4.138,100,1.137,24,666,37.97,0
19.6091,18.1,0,0.671,7.313,97.9,1.3163,24,666,13.44,0
15.288,18.1,0,0.671,6.649,93.3,1.3449,24,666,23.24,0
9.82349,18.1,0,0.671,6.794,98.8,1.358,24,666,21.24,0
23.6482,18.1,0,0.671,6.38,96.2,1.3861,24,666,23.69,0
17.8667,18.1,0,0.671,6.223,100,1.3861,24,666,21.78,0
88.9762,18.1,0,0.671,6.968,91.9,1.4165,24,666,17.21,0
15.8744,18.1,0,0.671,6.545,99.1,1.5192,24,666,21.08,0
9.18702,18.1,0,0.7,5.536,100,1.5804,24,666,23.6,0
7.99248,18.1,0,0.7,5.52,100,1.5331,24,666,24.56,0
20.0849,18.1,0,0.7,4.368,91.2,1.4395,24,666,30.63,0
16.8118,18.1,0,0.7,5.277,98.1,1.4261,24,666,30.81,0
24.3938,18.1,0,0.7,4.652,100,1.4672,24,666,28.28,0
22.5971,18.1,0,0.7,5,89.5,1.5184,24,666,31.99,0
14.3337,18.1,0,0.7,4.88,100,1.5895,24,666,30.62,0
8.15174,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.85,0
6.96215,18.1,0,0.7,5.713,97,1.9265,24,666,17.11,0
5.29305,18.1,0,0.7,6.051,82.5,2.1678,24,666,18.76,1
11.5779,18.1,0,0.7,5.036,97,1.77,24,666,25.68,0
8.64476,18.1,0,0.693,6.193,92.6,1.7912,24,666,15.17,0
13.3598,18.1,0,0.693,5.887,94.7,1.7821,24,666,16.35,0
8.71675,18.1,0,0.693,6.471,98.8,1.7257,24,666,17.12,0
5.87205,18.1,0,0.693,6.405,96,1.6768,24,666,19.37,0
7.67202,18.1,0,0.693,5.747,98.9,1.6334,24,666,19.92,0
38.3518,18.1,0,0.693,5.453,100,1.4896,24,666,30.59,0
9.91655,18.1,0,0.693,5.852,77.8,1.5004,24,666,29.97,0
25.0461,18.1,0,0.693,5.987,100,1.5888,24,666,26.77,0
14.2362,18.1,0,0.693,6.343,100,1.5741,24,666,20.32,0
9.59571,18.1,0,0.693,6.404,100,1.639,24,666,20.31,0
24.8017,18.1,0,0.693,5.349,96,1.7028,24,666,19.77,0
41.5292,18.1,0,0.693,5.531,85.4,1.6074,24,666,27.38,0
67.9208,18.1,0,0.693,5.683,100,1.4254,24,666,22.98,0
20.7162,18.1,0,0.659,4.138,100,1.1781,24,666,23.34,0
11.9511,18.1,0,0.659,5.608,100,1.2852,24,666,12.13,1
7.40389,18.1,0,0.597,5.617,97.9,1.4547,24,666,26.4,0
14.4383,18.1,0,0.597,6.852,100,1.4655,24,666,19.78,1
51.1358,18.1,0,0.597,5.757,100,1.413,24,666,10.11,0
14.0507,18.1,0,0.597,6.657,100,1.5275,24,666,21.22,0
18.811,18.1,0,0.597,4.628,100,1.5539,24,666,34.37,0
28.6558,18.1,0,0.597,5.155,100,1.5894,24,666,20.08,0
45.7461,18.1,0,0.693,4.519,100,1.6582,24,666,36.98,0
